γρηγορέω|1127
γράμμα|1121
γράφω|1125
γυμνασία|1129
γυμνητεύω|1130
γυμνάζω|1128
γυμνός|1131
γυμνότης|1132
γυναικεῖος|1134
γυναικάριον|1133
γυνή|1135
γωνία|1137
γάγγραινα|1044
γάδ|1045
γάζα|@
γάιος|1050
γάλα|1051
γάμος|1062
γάρ|1063
γέεννα|1067
γέλως|1071
γέμω|1073
γένεσις|1078
γέννημα|1081
γέννησις|1083
γένος|1085
γέρων|1088
γίνομαι|1096
γόης|1114
γόμορρα|1116
γόμος|1117
γόνυ|1119
γώγ|1136
γῆ|1093
γῆρας|1094
δαιμονιώδης|1141
δαιμονίζομαι|1139
δαιμόνιον|1140
δακρύω|1145
δακτύλιος|1146
δαλμανουθά|1148
δαλματία|1149
δαμασκηνός|1153
δαμασκός|1154
δαμάζω|1150
δανειστής|1157
δανείζω|1155
δανιήλ|1158
δαπανάω|1159
δαπάνη|1160
δαυίδ|1138
δαίμων|1142
δειγματίζω|1165
δειλιάω|1168
δειλία|1167
δειλός|1169
δεινῶς|1171
δειπνέω|1172
δεισιδαιμονία|1175
δεισιδαίμων|1174
δεκαδύο|1177
δεκαπέντε|1178
δεκατέσσαρες|1180
δεκατόω|1183
δεκτός|1184
δεκάπολις|1179
δεκάτη|1181
δελεάζω|1185
δεξιόλαβος|1187
δεξιός|1188
δερβαῖος|1190
δερμάτινος|1193
δεσμεύω|1195
δεσμοφύλαξ|1200
δεσμωτήριον|1201
δεσμέω|1196
δεσμός|1199
δεσμώτης|1202
δεσπότης|1203
δευτεραῖος|1206
δευτερόπρωτος|1207
δείκνυμι|1166
δεύτερος|1208
δεῖ|1163
δεῖγμα|1164
δεῖνα|1170
δεῖπνον|1173
δεῦρο|1204
δεῦτε|1205
δηλόω|1213
δημηγορέω|1215
δημιουργός|1217
δημήτριος|1216
δημόσιος|1219
δημᾶς|1214
δηνάριον|1220
διαβαίνω|1224
διαβεβαιόομαι|1226
διαβλέπω|1227
διαβάλλω|1225
διαγγέλλω|1229
διαγινώσκω|1231
διαγνωρίζω|1232
διαγογγύζω|1234
διαγρηγορέω|1235
διαγίνομαι|1230
διαδέχομαι|1237
διαδίδωμι|1239
διαζώννυμι|1241
διαθήκη|1242
διαιρέω|1244
διακαθαρίζω|1245
διακατελέγχομαι|1246
διακονέω|1247
διακονία|1248
διακούω|1251
διακρίνω|1252
διακωλύω|1254
διακόσιοι|1250
διαλαλέω|1255
διαλείπω|1257
διαλλάσσομαι|1259
διαλογισμός|1261
διαλογίζομαι|1260
διαλέγομαι|1256
διαλύω|1262
διαμαρτύρομαι|1263
διαμερισμός|1267
διαμερίζω|1266
διαμάχομαι|1264
διαμένω|1265
διανεύω|1269
διανοίγω|1272
διανυκτερεύω|1273
διανέμω|1268
διανόημα|1270
διανύω|1274
διαπεράω|1276
