ἀκρίς|n202
ἀκροατήριον|n203
ἀκροατής|n204
ἀκροβυστία|n205
ἀκρογωνιαῖος|n206
ἀκροθίνιον|n207
ἄκρος|n208
ἀκύλας|n209
ἀκυρόω|n210
ἀκωλύτως|n211
ἀκων|n212
ἀλάβαστρον|n213
ἀλαζονία|n214
ἀλαζών|n215
ἀλαλάζω|n216
ἀλάλητος|n217
ἄλαλος|n218
ἅλας|n219
ἀλέανδρος|n225
ἁλεεύς|n233
ἀλείφω|n220
ἀλεκτοροφωνία|n221
ἀλέκτωρ|n222
ἀλεξανδρεύς|n223
ἀλεξανδρινός|n224
ἄλευρον|n226
ἀλήθεια|n227
ἀληθεύω|n228
ἀληθής|n229
ἀληθινός|n230
ἀλήθω|n231
ἀληθῶς|n232
ἁλιεύω|n234
ἁλίζω|n235
ἀλίσγημα|n236
ἀλλά|n237
ἀλλάσσω|n238
ἀλλαχόθεν|n239
ἀλληγορέω|n240
ἁλληλουιά|n241
ἀλλήλων|n242
ἀλλογενής|n243
ἅλλομαι|n244
ἀλλος|n245
ἀλλοτριεπίσκοπος|n246
ἀλλότριος|n247
ἀλλόφυλος|n248
ἄλλως|n249
ἀλοάω|n250
ἄλογος|n251
ἀλόη|n252
ἅλς|n253
ἁλυκός|n254
ἄλυπος|n255
ἅλυσις|n256
ἀλυσιτελής|n257
ἀλφαῖος|n258
ἅλων|n259
ἀλώπηξ|n260
ἅλωσις|n261
ἅμα|n262
ἀμαθής|n263
ἀμαράντινος|n264
ἀμάραντος|n265
ἁμαρτάνω|n266
ἁμάρτημα|n267
ἁμαρτία|n268
ἀμάρτυρος|n269
ἁμαρτωλός|n270
ἄμαχος|n271
ἀμάω|n272
ἀμέθυστος|n273
ἀμελέω|n274
ἄμεμπτος|n275
ἀμέμπτως|n276
ἀμέριμνος|n277
ἀμετάθετος|n278
ἀμετακίνητος|n279
ἀμεταμέλητος|n280
ἀμετανόητος|n281
ἄμετρος|n282
ἀμήτωρ|n284
ἀμίαντος|n285
ἀμιναδάβ|n286
ἄμμος|n287
ἀμνή|n283
ἀμνός|n288
ἀμοιβή|n289
ἄμπελος|n290
ἀμπελουργός|n291
ἀμπελών|n292
ἀμπλιᾶτος|n293
ἀμύνω|n294
ἀμφιάζω|n296
ἀμφίβληστρον|n295
ἀμφίπολις|n297
ἄμφοδον|n298
ἀμφότεροι|n299
ἀμώμητος|n300
ἄμωμος|n301
ἀμών|n302
ἀμώς|n303
